#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0400.221.04.153.40 2025 (69),,,ERREGAI ETA KARBURANTEAK,28000.0,28000.0,0.0,-3566.49,31566.49,31566.49,5776.47
1 0400.221.04.163.00 2025 (78),,,ERREGAI ETA KARBURANTEAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.04.323.00 2025 (194),,,ERREGAI ETA KARBURANTEAK,205000.0,205000.0,0.0,102900.0,102100.0,102100.0,44527.41
1 0400.221.04.333.10 2025 (229),,,ERREGAI ETA KARBURANTEAK,27181.0,27181.0,0.0,15181.0,12000.0,12000.0,9311.3
1 0400.221.04.333.20 2025 (235),,,ERREGAI ETA KARBURANTEAK,43000.0,43000.0,0.0,13000.0,30000.0,30000.0,17694.37
1 0400.221.04.920.40 2025 (440),,,ERREGAI ETA KARBURANTEAK,54500.0,54500.0,0.0,22046.25,32453.75,32453.75,17179.68
1 0400.221.05.153.40 2025 (70),,,ARROPAK,27000.0,27000.0,0.0,21135.53,5864.47,5864.47,3721.64
1 0400.221.05.164.00 2025 (86),,,ARROPAK,1500.0,1500.0,0.0,48.0,1452.0,1452.0,366.99
1 0400.221.05.171.00 2025 (432),,,ARROPAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.05.323.00 2025 (195),,,ARROPAK,2000.0,2000.0,0.0,1153.0,847.0,847.0,340.8
1 0400.221.05.334.50 2025 (2406),,,ARROPAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0
1 0400.221.05.920.40 2025 (441),,,ARROPAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0
1 0400.221.09.337.10 2025 (2436),,,GARBIKETA ETA TXUKUNNETA ,500.0,500.0,0.0,0.0,500.0,500.0,497.19
1 0400.221.09.342.14 2025 (2703),,,GARBIKETA ETA TXUKUNKETA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.09.920.40 2025 (442),,,GARBIKETA/TXUKUNKETA ,8500.0,8500.0,0.0,4691.42,3808.58,3808.58,3685.53
1 0400.221.96.153.30 2025 (58),,,HERRIKO MANTENIMENDU NAGUSIA,169200.0,169200.0,237.16,70047.36,98915.48,98915.48,24575.46
1 0400.221.96.442.00 2025 (365),,,MANTENIMENDUA.MARKESINAK,2500.0,2500.0,0.0,2500.0,0.0,0.0,0.0
1 0400.221.99.133.20 2025 (26),,,BESTELAK.HORNID.,16000.0,16000.0,0.0,-18803.05,34803.05,34803.05,14941.44
1 0400.221.99.171.00 2025 (107),,,BESTELAKO HORNIDURAK,76000.0,76000.0,0.0,-19352.1,95352.1,95352.1,37869.69
1 0400.221.99.323.00 2025 (2888),,,BESTELAKO HORNIDURAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.221.99.334.50 2025 (3176),,,BESTELAKO HORNIDUNAK,0.0,0.0,0.0,-3252.48,3252.48,3252.48,0.0
1 0400.222.01.231.50 2025 (2411),,,TELEFONO BIDEZKOA,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0
1 0400.222.01.334.50 2025 (2435),,,TELEFONIKA,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0
1 0400.222.01.920.40 2025 (443),,,TELEFONO BIDEZKOAK,100000.0,100000.0,0.0,42832.4,57167.6,57167.6,22505.0
1 0400.224.01.920.40 2025 (444),,,ERAIKIN ETA LOKALENAK.ASEGURUAK,100000.0,100000.0,0.0,15255.37,84744.63,84744.63,84744.63
1 0400.224.02.153.40 2025 (71),,,IBILGAILUENAK. ASEGURUAK,7000.0,7000.0,0.0,-3500.0,10500.0,10500.0,0.0
1 0400.225.02.425.00 2025 (339),,,LURRALDE HISTORIKOKO ZERGAK,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0
1 0400.226.99.153.40 2025 (72),,,BESTE HAINBAT GASTU,18000.0,18000.0,0.0,-336.97,18336.97,18336.97,12407.97
1 0400.226.99.165.00 2025 (98),,,HAINB.GASTU.KONTROL.ERAKUND.,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0400.226.99.171.00 2025 (108),,,EZPOND.BELAR-SASTR.GARBITZ.,92029.5,101029.5,0.0,24189.65,76839.85,76839.85,5432.9
1 0400.227.01.134.00 2025 (30),,,GARBIKETA,349556.43,349556.43,0.0,123639.44,225916.99,225916.99,68677.76
1 0400.227.01.152.20 2025 (2919),,,GARBIKETA,4153.23,4153.23,0.0,419.07,3734.16,3734.16,1244.72
