#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Baimendua ,Erabilgarria,Erabilia ,Onart. Oblig.
1 0400.212.01.920.40 2024 (437),,,"MAKINERIA,INSTALAZIOAK ETA ",62026.82,62026.82,0.0,48350.38,13676.44,48350.38,40925.51
1 0400.213.01.153.40 2024 (68),,,GARRAIO-MATERIALA. ,25000.0,25000.0,0.0,27873.63,-2873.63,27873.63,20541.46
1 0400.215.02.920.40 2024 (2448),,,INFORMAZIO-PROZEZUETARAKO ,15000.0,15000.0,0.0,3630.0,11370.0,3630.0,1452.0
1 0400.221.01.134.00 2024 (29),,,ENERGIA ELEKTRIKOA,130000.0,130000.0,0.0,96003.77,33996.23,96003.77,96003.77
1 0400.221.01.165.00 2024 (97),,,ENERGIA ELEKTRIKOA,421634.0,421634.0,0.0,295692.48,125941.52,295692.48,295692.48
1 0400.221.01.231.50 2024 (2409),,,ENERGIA ELEKTRIKOA,10000.0,10000.0,0.0,3220.61,6779.39,3220.61,3220.61
1 0400.221.01.323.00 2024 (193),,,ENERGIA ELEKTRIKOA,182218.0,182218.0,0.0,102625.54,79592.46,102625.54,102625.54
1 0400.221.01.333.10 2024 (228),,,ENERGIA ELEKTRIKOA,31212.0,31212.0,0.0,15212.0,16000.0,15212.0,13191.33
1 0400.221.01.333.20 2024 (234),,,ENERGIA ELEKTRIKOA,64000.0,64000.0,0.0,63609.53,390.47,63609.53,63609.53
1 0400.221.01.334.50 2024 (1753),,,ENERGIA ELEKTRIKOA.,58500.0,58500.0,0.0,45058.49,13441.51,45058.49,45058.49
1 0400.221.01.920.40 2024 (438),,,ENERGIA ELEKTRIKOA,150000.0,150000.0,0.0,115168.88,34831.12,115168.88,114804.42
1 0400.221.02.920.40 2024 (439),,,URA,78000.0,78000.0,0.0,105511.46,-27511.46,105511.46,105511.46
1 0400.221.04.153.40 2024 (69),,,ERREGAI ETA KARBURANTEAK,28000.0,28000.0,0.0,21161.86,6838.14,21161.86,17894.14
1 0400.221.04.163.00 2024 (78),,,ERREGAI ETA KARBURANTEAK,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0
1 0400.221.04.323.00 2024 (194),,,ERREGAI ETA KARBURANTEAK,205000.0,205000.0,0.0,136951.4,68048.6,136951.4,64480.62
1 0400.221.04.333.10 2024 (229),,,ERREGAI ETA KARBURANTEAK,27181.0,27181.0,0.0,15181.0,12000.0,15181.0,12697.62
1 0400.221.04.333.20 2024 (235),,,ERREGAI ETA KARBURANTEAK,43000.0,43000.0,0.0,27000.0,16000.0,27000.0,23203.69
1 0400.221.04.920.40 2024 (440),,,ERREGAI ETA KARBURANTEAK,54500.0,54500.0,0.0,21393.45,33106.55,21393.45,13484.2
1 0400.221.05.153.40 2024 (70),,,ARROPAK,27000.0,24825.36,0.0,17272.26,7553.1,17272.26,17152.6
1 0400.221.05.164.00 2024 (86),,,ARROPAK,1500.0,1500.0,0.0,1396.16,103.84,1396.16,1396.16
1 0400.221.05.171.00 2024 (432),,,ARROPAK,4500.0,4500.0,0.0,1614.17,2885.83,1614.17,1614.17
1 0400.221.05.323.00 2024 (195),,,ARROPAK,2000.0,2000.0,0.0,1721.71,278.29,1721.71,1066.37
1 0400.221.05.334.50 2024 (2406),,,ARROPAK,1000.0,1000.0,0.0,473.43,526.57,473.43,473.43
1 0400.221.05.920.40 2024 (441),,,ARROPAK,1500.0,1500.0,0.0,970.14,529.86,970.14,970.14
1 0400.221.09.337.10 2024 (2436),,,GARBIKETA ETA TXUKUNNETA ,1000.0,1000.0,0.0,1148.36,-148.36,1148.36,1148.36
1 0400.221.09.342.14 2024 (2703),,,GARBIKETA ETA TXUKUNKETA ,12000.0,12000.0,0.0,0.0,12000.0,0.0,0.0
1 0400.221.09.920.40 2024 (442),,,GARBIKETA/TXUKUNKETA ,8500.0,8500.0,0.0,6994.23,1505.77,6994.23,6304.84
1 0400.221.96.153.30 2024 (58),,,HERRIKO MANTENIMENDU NAGUSIA,184200.0,183909.6,0.0,121803.08,62106.52,121803.08,119161.77
1 0400.221.96.442.00 2024 (365),,,MANTENIMENDUA.MARKESINAK,2500.0,2500.0,0.0,0.0,2500.0,0.0,0.0
1 0400.221.99.133.20 2024 (26),,,BESTELAK.HORNID.,18150.0,29650.0,0.0,27495.72,2154.28,27495.72,25630.08
1 0400.221.99.171.00 2024 (107),,,BESTELAKO HORNIDURAK,76000.0,76000.0,0.0,99723.65,-23723.65,99723.65,89666.36
1 0400.221.99.323.00 2024 (2888),,,BESTELAKO HORNIDURAK,0.0,0.0,0.0,1336.49,-1336.49,1336.49,1273.22
1 0400.222.01.231.50 2024 (2411),,,TELEFONO BIDEZKOA,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0
1 0400.222.01.334.50 2024 (2435),,,TELEFONIKA,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0
1 0400.222.01.920.40 2024 (443),,,TELEFONO BIDEZKOAK,60000.0,60000.0,0.0,54365.92,5634.08,54365.92,54365.92
1 0400.224.01.920.40 2024 (444),,,ERAIKIN ETA LOKALENAK.ASEGURUAK,75000.0,75000.0,0.0,62576.24,12423.76,62576.24,62576.24
1 0400.224.02.153.40 2024 (71),,,IBILGAILUENAK. ASEGURUAK,7000.0,7000.0,0.0,6626.0,374.0,6626.0,6626.0
1 0400.225.02.425.00 2024 (339),,,LURRALDE HISTORIKOKO ZERGAK,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0
1 0400.226.99.153.40 2024 (72),,,BESTE HAINBAT GASTU,18000.0,18000.0,0.0,20728.64,-2728.64,20728.64,20365.64
1 0400.226.99.165.00 2024 (98),,,HAINB.GASTU.KONTROL.ERAKUND.,5000.0,5000.0,0.0,387.2,4612.8,387.2,0.0
1 0400.226.99.171.00 2024 (108),,,EZPOND.BELAR-SASTR.GARBITZ.,92029.5,92029.5,0.0,71218.19,20811.31,71218.19,66365.31
1 0400.227.01.134.00 2024 (30),,,GARBIKETA,249934.51,249934.51,0.0,244744.74,5189.77,244744.74,227930.89
1 0400.227.01.153.30 2024 (59),,,GARBIKETA,42480.96,42480.96,0.0,51206.72,-8725.76,51206.72,42505.96
1 0400.227.01.163.00 2024 (79),,,GARBIKETA,205545.0,205545.0,0.0,98790.84,106754.16,98790.84,89501.14
1 0400.227.01.164.00 2024 (87),,,GARBIKETA,3000.0,3000.0,0.0,2934.6,65.4,2934.6,1294.87
1 0400.227.01.231.50 2024 (2412),,,GARBIKETA,4000.0,4000.0,0.0,1616.49,2383.51,1616.49,876.34
1 0400.227.01.323.00 2024 (196),,,GARBIKETA,649998.16,649998.16,0.0,649998.24,-0.08,649998.24,649998.24
1 0400.227.01.333.20 2024 (236),,,GARBIKETA,251829.24,251829.24,0.0,252004.08,-174.84,252004.08,251829.24
1 0400.227.01.334.50 2024 (1754),,,GARBIKETA,28000.0,28000.0,0.0,6382.63,21617.37,6382.63,6087.16
1 0400.227.01.337.20 2024 (2687),,,GARBIKETA,40998.67,40998.67,0.0,0.0,40998.67,0.0,0.0
1 0400.227.01.442.00 2024 (366),,,GARBIKETA. MARKESINAK,9827.14,9827.14,0.0,0.0,9827.14,0.0,0.0
1 0400.227.01.920.40 2024 (445),,,GARBIKETA,55235.14,55235.14,0.0,70191.99,-14956.85,70191.99,69129.51
1 0400.227.07.920.40 2024 (2885),,,AZTERKETAK ETA LAN TEKNIKOAK,0.0,0.0,0.0,1972.3,-1972.3,1972.3,0.0
